,Player,tm,pos,yr2019_20,avg_cost_per_pt,Age,PER,pts,g,mp,ast,stl,blk
0,Luguentz Dort,OKC,SG,155647.0,637.9,20.0,7.6,244.0,36.0,820.0,27.0,31.0,4.0
1,Ky Bowman,GSW,PG,350189.0,1045.34,22.0,9.1,335.0,45.0,1015.0,131.0,44.0,10.0
2,Eric Paschall,GSW,PF,898310.0,1073.25,23.0,14.5,837.0,60.0,1654.0,127.0,32.0,13.0
3,PJ Dozier,DEN,PG,183115.0,1089.97,23.0,11.6,168.0,29.0,412.0,63.0,14.0,6.0
4,Devonte' Graham,CHO,PG,1416852.0,1237.43,24.0,15.8,1145.0,63.0,2211.0,471.0,62.0,15.0
5,Damion Lee,GSW,SG,842327.0,1356.4,27.0,12.7,621.0,49.0,1423.0,133.0,50.0,6.0
6,Dillon Brooks,MEM,SG,1618520.0,1370.47,24.0,11.3,1181.0,73.0,2112.0,150.0,63.0,27.0
7,Kendrick Nunn,MIA,SG,1416852.0,1383.64,24.0,12.9,1024.0,67.0,1962.0,220.0,56.0,15.0
8,Marquese Chriss,GSW,PF,758804.0,1384.68,22.0,19.5,548.0,59.0,1196.0,114.0,39.0,62.0
9,Duncan Robinson,MIA,SF,1416852.0,1441.36,25.0,13.1,983.0,73.0,2166.0,102.0,35.0,19.0
10,Terence Davis,TOR,SG,898310.0,1654.35,22.0,13.8,543.0,72.0,1209.0,115.0,39.0,14.0
11,Pascal Siakam,TOR,PF,2351839.0,1715.42,25.0,17.9,1371.0,60.0,2110.0,207.0,61.0,53.0
12,Timothé Luwawu-Cabarrot,BRK,SG,654468.0,1793.06,24.0,11.0,365.0,47.0,853.0,29.0,18.0,7.0
13,Christian Wood,DET,PF,1645357.0,2031.3,24.0,23.2,810.0,62.0,1325.0,60.0,34.0,54.0
14,Donovan Mitchell,UTA,SG,3635760.0,2196.83,23.0,18.8,1655.0,69.0,2364.0,294.0,70.0,14.0
15,Furkan Korkmaz,PHI,SG,1620564.0,2301.94,22.0,12.0,704.0,72.0,1559.0,79.0,41.0,16.0
16,Monte Morris,DEN,PG,1588231.0,2406.41,24.0,14.9,660.0,73.0,1636.0,255.0,55.0,17.0
17,Carmelo Anthony,POR,PF,2159029.0,2412.32,35.0,12.4,895.0,58.0,1902.0,85.0,49.0,27.0
18,Kyle Kuzma,LAL,PF,1974600.0,2525.06,24.0,12.2,782.0,61.0,1526.0,80.0,28.0,26.0
19,Brandon Goodwin,ATL,PG,522738.0,2537.56,24.0,11.6,206.0,34.0,430.0,51.0,12.0,4.0
20,Derrick White,SAS,SG,1948080.0,2546.51,25.0,16.4,765.0,68.0,1677.0,241.0,44.0,59.0
21,Mitchell Robinson,NYK,C,1559712.0,2643.58,21.0,23.5,590.0,61.0,1412.0,36.0,52.0,119.0
22,Bruce Brown,DET,SG,1416852.0,2740.53,23.0,11.9,517.0,58.0,1634.0,230.0,63.0,29.0
23,Sviatoslav Mykhailiuk,DET,SF,1416852.0,2811.21,22.0,11.2,504.0,56.0,1265.0,106.0,41.0,4.0
24,Ben McLemore,HOU,SG,2028594.0,2837.19,26.0,11.8,715.0,71.0,1619.0,58.0,45.0,16.0
25,Josh Hart,NOP,SF,1934160.0,2948.41,24.0,11.9,656.0,65.0,1755.0,108.0,63.0,23.0
26,Brad Wanamaker,BOS,PG,1445697.0,2968.58,30.0,12.8,487.0,71.0,1369.0,179.0,61.0,14.0
27,Shai Gilgeous-Alexander,OKC,SG,3952920.0,2969.89,21.0,17.7,1331.0,70.0,2428.0,232.0,79.0,47.0
28,Bam Adebayo,MIA,PF,3454080.0,3014.03,22.0,20.3,1146.0,72.0,2417.0,368.0,82.0,93.0
29,John Collins,ATL,PF,2686560.0,3035.66,22.0,23.5,885.0,41.0,1363.0,60.0,31.0,66.0
30,Jalen Brunson,DAL,PG,1416582.0,3039.88,23.0,14.9,466.0,57.0,1022.0,188.0,22.0,4.0
31,Jarrett Allen,BRK,C,2376840.0,3066.89,21.0,20.7,775.0,70.0,1852.0,110.0,40.0,92.0
32,Domantas Sabonis,IND,C,3529555.0,3077.21,23.0,20.7,1147.0,62.0,2159.0,310.0,47.0,30.0
33,Anžejs Pasečņiks,WAS,C,482144.0,3090.67,24.0,11.3,156.0,27.0,437.0,18.0,9.0,12.0
34,OG Anunoby,TOR,SF,2281800.0,3112.96,22.0,13.2,733.0,69.0,2066.0,108.0,96.0,45.0
35,De'Anthony Melton,MEM,PG,1416852.0,3113.96,21.0,13.5,455.0,60.0,1167.0,175.0,77.0,20.0
36,Caris LeVert,BRK,SG,2625718.0,3118.43,25.0,16.1,842.0,45.0,1330.0,199.0,53.0,10.0
37,Dejounte Murray,SAS,PG,2321735.0,3224.63,23.0,16.2,720.0,66.0,1687.0,271.0,111.0,17.0
38,Naz Reid,MIN,C,898310.0,3339.44,20.0,15.3,269.0,30.0,495.0,35.0,19.0,22.0
39,Chris Silva,MIA,PF,466918.0,3510.66,23.0,17.3,133.0,44.0,346.0,23.0,9.0,21.0
40,Buddy Hield,SAC,SG,4861208.0,3517.52,27.0,16.0,1382.0,72.0,2216.0,213.0,66.0,17.0
41,Trae Young,ATL,PG,6273000.0,3528.12,21.0,23.9,1778.0,60.0,2120.0,560.0,65.0,8.0
42,Chris Clemons,HOU,SG,568422.0,3530.57,22.0,13.1,161.0,33.0,291.0,27.0,9.0,6.0
43,Collin Sexton,CLE,SG,4764960.0,3532.22,21.0,16.3,1349.0,65.0,2143.0,192.0,65.0,7.0
44,Brandon Clarke,MEM,PF,2478840.0,3541.2,23.0,20.9,700.0,58.0,1300.0,81.0,32.0,48.0
45,Aaron Holiday,IND,PG,2239200.0,3571.29,23.0,11.6,627.0,66.0,1617.0,225.0,55.0,16.0
46,Royce O'Neale,UTA,PF,1618520.0,3596.71,26.0,9.5,450.0,71.0,2049.0,180.0,59.0,32.0
47,Austin Rivers,HOU,SG,2174318.0,3648.18,27.0,10.4,596.0,68.0,1594.0,113.0,49.0,10.0
48,Anfernee Simons,POR,SG,2149560.0,3712.54,20.0,9.0,579.0,70.0,1449.0,97.0,26.0,10.0
49,Shake Milton,PHI,SG,1445697.0,3834.74,23.0,14.4,377.0,40.0,805.0,104.0,20.0,7.0
50,Kevin Huerter,ATL,SG,2636280.0,3854.21,21.0,11.5,684.0,56.0,1760.0,213.0,51.0,27.0
51,Chris Boucher,TOR,PF,1588231.0,3864.31,27.0,20.7,411.0,62.0,819.0,26.0,22.0,61.0
52,Jordan Poole,GSW,SG,1964760.0,3906.08,20.0,7.2,503.0,57.0,1274.0,134.0,35.0,10.0
53,Cedi Osman,CLE,SF,2907143.0,4048.95,24.0,10.7,718.0,65.0,1910.0,154.0,54.0,16.0
54,Landry Shamet,LAC,SG,1995120.0,4055.12,22.0,8.5,492.0,53.0,1452.0,99.0,20.0,10.0
55,Bryn Forbes,SAS,SG,2875000.0,4066.48,26.0,11.1,707.0,63.0,1579.0,108.0,33.0,0.0
56,Jamal Murray,DEN,PG,4444746.0,4074.01,22.0,17.7,1091.0,59.0,1904.0,284.0,67.0,17.0
57,Daniel Gafford,CHI,C,898310.0,4083.23,21.0,16.2,220.0,43.0,609.0,21.0,13.0,56.0
58,Georges Niang,UTA,PF,1678854.0,4282.79,26.0,11.7,392.0,66.0,923.0,44.0,18.0,5.0
59,Isaac Bonga,WAS,SF,1416852.0,4293.49,20.0,10.2,330.0,66.0,1250.0,76.0,45.0,22.0
60,Shaquille Harrison,CHI,SF,898310.0,4298.13,26.0,17.8,209.0,43.0,484.0,49.0,34.0,19.0
61,Frank Jackson,NOP,PG,1618520.0,4362.59,21.0,9.1,371.0,59.0,797.0,61.0,17.0,4.0
62,Luka Dončić,DAL,PG,7683360.0,4368.03,20.0,27.6,1759.0,61.0,2047.0,538.0,62.0,14.0
63,Emmanuel Mudiay,UTA,PG,1737145.0,4397.84,23.0,13.0,395.0,54.0,850.0,116.0,24.0,10.0
64,Matt Thomas,TOR,SG,898310.0,4447.08,25.0,13.3,202.0,41.0,440.0,22.0,10.0,1.0
65,Miles Bridges,CHO,SF,3755400.0,4454.8,21.0,12.1,843.0,65.0,1995.0,114.0,40.0,48.0
66,Hamidou Diallo,OKC,SF,1416852.0,4455.51,21.0,9.3,318.0,46.0,896.0,36.0,37.0,9.0
67,Nerlens Noel,OKC,C,2028594.0,4518.03,25.0,20.4,449.0,61.0,1127.0,57.0,59.0,91.0
68,Abdel Nader,OKC,SF,1618520.0,4691.36,26.0,11.3,345.0,55.0,867.0,38.0,23.0,20.0
69,Josh Okogie,MIN,SG,2530680.0,4747.99,21.0,11.5,533.0,62.0,1547.0,99.0,68.0,26.0
70,Isaiah Thomas,WAS,PG,2320044.0,4754.19,30.0,11.6,488.0,40.0,925.0,146.0,13.0,6.0
71,Donte DiVincenzo,MIL,SG,2905800.0,4763.61,23.0,14.1,610.0,66.0,1520.0,154.0,85.0,20.0
72,Pat Connaughton,MIL,SG,1723050.0,4786.25,27.0,11.5,360.0,67.0,1243.0,107.0,25.0,31.0
73,Tyler Herro,MIA,SG,3640200.0,4899.33,20.0,12.5,743.0,55.0,1508.0,121.0,34.0,9.0
74,Brandon Ingram,NOP,PF,7265485.0,4919.08,22.0,18.8,1477.0,62.0,2104.0,259.0,61.0,38.0
75,Cody Martin,CHO,SF,1173310.0,4929.87,24.0,10.5,238.0,48.0,903.0,95.0,39.0,9.0
76,Jevon Carter,PHO,PG,1416852.0,4936.77,24.0,11.3,287.0,58.0,945.0,84.0,47.0,17.0
77,Dario Šarić,PHO,PF,3481986.0,4946.0,25.0,14.2,704.0,66.0,1632.0,123.0,37.0,16.0
78,Damyean Dotson,NYK,SG,1618520.0,5042.12,25.0,10.9,321.0,48.0,836.0,57.0,23.0,4.0
79,Jayson Tatum,BOS,PF,7830000.0,5061.41,21.0,20.4,1547.0,66.0,2265.0,200.0,93.0,57.0
80,Montrezl Harrell,LAC,C,6000000.0,5115.09,26.0,23.2,1173.0,63.0,1749.0,107.0,39.0,72.0
81,Omari Spellman,GSW,PF,1897800.0,5129.19,22.0,14.4,370.0,49.0,886.0,47.0,33.0,24.0
82,Wesley Matthews,MIL,SG,2564753.0,5191.81,33.0,8.1,494.0,67.0,1635.0,92.0,38.0,9.0
83,Moritz Wagner,WAS,C,2063520.0,5250.69,22.0,15.1,393.0,45.0,835.0,56.0,28.0,19.0
84,Danuel House,HOU,SF,3540000.0,5347.43,26.0,11.3,662.0,63.0,1913.0,85.0,67.0,34.0
85,Wesley Iwundu,ORL,SF,1618520.0,5395.07,25.0,10.3,300.0,52.0,953.0,60.0,25.0,13.0
86,P.J. Washington,CHO,PF,3831840.0,5396.96,21.0,12.4,710.0,58.0,1759.0,123.0,51.0,44.0
87,Javonte Green,BOS,SF,898310.0,5511.1,26.0,13.1,163.0,48.0,468.0,26.0,24.0,8.0
88,Jaylen Brown,BOS,SF,6534829.0,5638.33,23.0,16.9,1159.0,57.0,1934.0,118.0,65.0,20.0
89,Bruno Fernando,ATL,C,1400000.0,5833.33,21.0,11.9,240.0,56.0,713.0,49.0,18.0,17.0
90,Dwight Howard,LAL,C,3039097.0,5878.33,34.0,18.7,517.0,69.0,1306.0,45.0,31.0,79.0
91,Dorian Finney-Smith,DAL,PF,4000000.0,5899.71,26.0,12.3,678.0,71.0,2120.0,114.0,45.0,39.0
92,De'Aaron Fox,SAC,PG,6392760.0,5935.71,22.0,20.6,1077.0,51.0,1634.0,348.0,74.0,25.0
93,Rondae Hollis-Jefferson,TOR,SF,2500000.0,5980.86,25.0,15.1,418.0,60.0,1122.0,106.0,46.0,23.0
94,Sterling Brown,MIL,SF,1618520.0,6084.66,24.0,9.5,266.0,52.0,767.0,51.0,29.0,7.0
95,Coby White,CHI,SG,5307120.0,6178.25,19.0,11.9,859.0,65.0,1674.0,175.0,49.0,6.0
96,Mikal Bridges,PHO,SF,4161000.0,6238.38,23.0,12.9,667.0,73.0,2042.0,129.0,102.0,46.0
97,Michael Carter-Williams,ORL,SG,2028594.0,6280.48,28.0,15.3,323.0,45.0,833.0,109.0,49.0,22.0
98,Raul Neto,PHI,PG,1737145.0,6316.89,27.0,12.7,275.0,54.0,668.0,95.0,24.0,6.0
99,Elie Okobo,PHO,PG,1416852.0,6469.64,22.0,10.6,219.0,55.0,719.0,115.0,24.0,4.0
100,Torrey Craig,DEN,SF,2100000.0,6666.67,29.0,10.8,315.0,58.0,1072.0,47.0,23.0,36.0
101,Darius Bazley,OKC,PF,2284800.0,6680.7,19.0,9.6,342.0,61.0,1130.0,41.0,23.0,41.0
102,Lou Williams,LAC,SG,8000000.0,6751.05,33.0,17.3,1185.0,65.0,1864.0,365.0,43.0,12.0
103,Mario Hezonja,POR,PF,1737145.0,6785.72,24.0,9.5,256.0,53.0,871.0,50.0,36.0,9.0
104,Semi Ojeleye,BOS,PF,1618520.0,6858.14,25.0,7.7,236.0,69.0,1011.0,37.0,21.0,5.0
105,Tony Bradley,UTA,C,1962360.0,6885.47,22.0,21.7,285.0,58.0,663.0,23.0,14.0,33.0
106,Rui Hachimura,WAS,PF,4469160.0,6886.22,21.0,13.5,649.0,48.0,1444.0,87.0,37.0,8.0
107,Cam Reddish,ATL,SF,4245720.0,6960.2,20.0,9.0,610.0,58.0,1551.0,87.0,62.0,28.0
108,Jahlil Okafor,NOP,C,1702486.0,7006.12,24.0,18.3,243.0,30.0,467.0,37.0,7.0,22.0
109,Lonnie Walker,SAS,SG,2760480.0,7096.35,21.0,10.5,389.0,61.0,988.0,68.0,32.0,14.0
110,Malik Monk,CHO,SG,4028400.0,7142.55,21.0,12.6,564.0,55.0,1169.0,114.0,25.0,16.0
111,Lauri Markkanen,CHI,PF,5300400.0,7191.86,22.0,14.3,737.0,50.0,1492.0,74.0,42.0,23.0
112,Dwayne Bacon,CHO,SG,1618520.0,7225.54,24.0,6.1,224.0,39.0,687.0,52.0,23.0,2.0
113,Ja Morant,MEM,PG,8730240.0,7317.89,20.0,17.4,1193.0,67.0,2074.0,488.0,58.0,18.0
114,Grayson Allen,MEM,SG,2429400.0,7361.82,24.0,12.0,330.0,38.0,718.0,52.0,10.0,2.0
115,Garrett Temple,BRK,SG,4767000.0,7436.82,33.0,10.5,641.0,62.0,1730.0,156.0,49.0,29.0
116,Alfonzo McKinnie,CLE,SF,1361046.0,7478.27,27.0,8.7,182.0,40.0,593.0,14.0,23.0,8.0
117,Rajon Rondo,LAL,PG,2564753.0,7499.28,33.0,12.4,342.0,48.0,984.0,240.0,40.0,2.0
118,Damian Jones,ATL,C,2305057.0,7532.87,24.0,15.6,306.0,55.0,887.0,35.0,26.0,40.0
119,T.J. McConnell,IND,PG,3500000.0,7543.1,27.0,16.5,464.0,71.0,1326.0,355.0,56.0,11.0
120,Cheick Diallo,PHO,C,1678854.0,7666.0,23.0,16.5,219.0,47.0,479.0,22.0,11.0,12.0
121,Joe Harris,BRK,SF,7670000.0,7685.37,28.0,13.3,998.0,69.0,2123.0,144.0,41.0,17.0
122,Alex Caruso,LAL,PG,2750000.0,7879.66,25.0,10.8,349.0,64.0,1175.0,124.0,70.0,18.0
123,Rodions Kurucs,BRK,PF,1699236.0,7903.42,21.0,8.9,215.0,47.0,684.0,51.0,25.0,5.0
124,Justin Holiday,IND,SG,4767000.0,7905.47,30.0,12.1,603.0,73.0,1826.0,93.0,87.0,46.0
125,Ish Smith,WAS,PG,5853659.0,7910.35,31.0,13.9,740.0,68.0,1787.0,334.0,59.0,30.0
126,Patrick Patterson,LAC,PF,2331593.0,7984.91,30.0,11.5,292.0,59.0,776.0,41.0,7.0,3.0
127,Cameron Johnson,PHO,PF,4033440.0,8002.86,23.0,12.9,504.0,57.0,1255.0,69.0,36.0,20.0
128,Spencer Dinwiddie,BRK,SG,10600000.0,8042.49,26.0,17.8,1318.0,64.0,1994.0,432.0,40.0,21.0
129,Caleb Martin,CHO,SF,898310.0,8092.88,24.0,12.0,111.0,18.0,317.0,23.0,12.0,7.0
130,Derrick Rose,DET,PG,7317073.0,8094.11,31.0,21.0,904.0,50.0,1298.0,278.0,40.0,16.0
131,Shabazz Napier,WAS,PG,1882867.0,8150.94,28.0,13.8,231.0,20.0,488.0,75.0,29.0,4.0
132,T.J. Warren,IND,SF,10810000.0,8152.34,26.0,18.4,1326.0,67.0,2202.0,99.0,78.0,34.0
133,Harry Giles,SAC,PF,2578800.0,8160.76,21.0,16.4,316.0,46.0,667.0,60.0,22.0,18.0
134,Nemanja Bjelica,SAC,PF,6825000.0,8213.0,31.0,15.7,831.0,72.0,2011.0,203.0,62.0,40.0
135,Daniel Theis,BOS,C,5000000.0,8319.47,27.0,17.9,601.0,65.0,1566.0,111.0,37.0,84.0
136,Dāvis Bertāns,WAS,PF,7000000.0,8393.29,27.0,15.5,834.0,54.0,1583.0,92.0,37.0,33.0
137,Matisse Thybulle,PHI,SG,2582160.0,8466.1,22.0,10.0,305.0,65.0,1287.0,79.0,94.0,47.0
138,Vince Carter,ATL,SF,2564753.0,8606.55,43.0,7.5,298.0,60.0,876.0,48.0,23.0,25.0
139,Luke Kennard,DET,SG,3827160.0,8658.73,23.0,14.4,442.0,28.0,922.0,115.0,12.0,6.0
140,Ben Simmons,PHI,PG,8113930.0,8659.48,23.0,20.4,937.0,57.0,2017.0,455.0,119.0,33.0
141,Darius Garland,CLE,PG,6400920.0,8792.47,20.0,8.5,728.0,59.0,1824.0,229.0,42.0,4.0
142,Willy Hernangómez,CHO,C,1676735.0,8824.92,25.0,19.2,190.0,31.0,375.0,29.0,10.0,7.0
143,Richaun Holmes,SAC,C,4767000.0,8844.16,26.0,19.7,539.0,44.0,1242.0,42.0,41.0,56.0
144,Kyle Korver,MIL,SF,3440000.0,8911.92,38.0,11.3,386.0,58.0,960.0,68.0,26.0,12.0
145,JaVale McGee,LAL,C,4000000.0,8968.61,32.0,19.4,446.0,68.0,1130.0,37.0,36.0,94.0
146,Mike Muscala,OKC,C,2028594.0,8976.08,28.0,12.5,226.0,47.0,572.0,40.0,9.0,12.0
147,De'Andre Hunter,ATL,SF,7068360.0,9085.3,22.0,8.6,778.0,63.0,2018.0,112.0,44.0,18.0
148,Justin Jackson,DAL,PF,3280920.0,9113.67,24.0,9.5,360.0,65.0,1045.0,52.0,15.0,10.0
149,Bogdan Bogdanović,SAC,SG,8529386.0,9230.94,27.0,15.1,924.0,61.0,1766.0,207.0,64.0,15.0
150,Seth Curry,DAL,SG,7441860.0,9384.44,29.0,15.5,793.0,64.0,1576.0,124.0,38.0,9.0
151,Malik Beasley,MIN,SG,2731714.0,9419.7,23.0,16.2,290.0,14.0,463.0,27.0,9.0,2.0
152,Fred VanVleet,TOR,PG,9000000.0,9453.78,25.0,16.3,952.0,54.0,1928.0,357.0,100.0,17.0
153,RJ Barrett,NYK,SG,7839960.0,9763.34,19.0,10.7,803.0,56.0,1704.0,143.0,55.0,17.0
154,Nicolò Melli,NOP,C,3902439.0,9879.59,29.0,11.4,395.0,60.0,1042.0,82.0,34.0,23.0
155,Džanan Musa,BRK,SF,1911600.0,9956.25,20.0,9.4,192.0,40.0,487.0,43.0,15.0,1.0
156,Jarrett Culver,MIN,SG,5813640.0,10023.52,20.0,9.6,580.0,63.0,1506.0,110.0,57.0,38.0
157,Grant Williams,BOS,PF,2379840.0,10041.52,21.0,7.9,237.0,69.0,1043.0,68.0,30.0,36.0
158,Jakob Poeltl,SAS,C,3754886.0,10093.78,24.0,19.1,372.0,66.0,1171.0,116.0,37.0,95.0
159,Carsen Edwards,BOS,SG,1228026.0,10148.98,21.0,6.9,121.0,37.0,351.0,24.0,12.0,4.0
160,Enes Kanter,BOS,C,4767000.0,10164.18,27.0,22.4,469.0,58.0,983.0,56.0,22.0,41.0
161,Luke Kornet,CHI,C,2195122.0,10209.87,24.0,12.7,215.0,36.0,559.0,32.0,11.0,26.0
162,Jaxson Hayes,NOP,C,4862040.0,10300.93,19.0,17.6,472.0,64.0,1080.0,56.0,26.0,55.0
163,Doug McDermott,IND,PF,7333334.0,10328.64,28.0,14.4,710.0,69.0,1372.0,78.0,12.0,5.0
164,Kenrich Williams,NOP,PF,1416852.0,10418.03,25.0,7.5,136.0,39.0,832.0,57.0,27.0,21.0
165,Kevin Knox,NYK,SF,4380120.0,10453.75,20.0,8.3,419.0,65.0,1166.0,61.0,23.0,28.0
166,DeAndre' Bembry,ATL,SG,2603982.0,10457.76,25.0,9.6,249.0,43.0,915.0,81.0,55.0,19.0
167,Alec Burks,PHI,SG,2320044.0,10545.65,28.0,16.1,220.0,18.0,364.0,38.0,12.0,0.0
168,Chandler Hutchison,CHI,SF,2332320.0,10698.72,23.0,12.4,218.0,28.0,527.0,26.0,27.0,7.0
