,Player,Pos,Tm,Age,AST,STL,G,BLK,PTS,FG,FGA,MP
0,Steven Adams,C,OKC,26,146,51,63,67,684,283,478,1680
1,Bam Adebayo,PF,MIA,22,368,82,72,93,1146,440,790,2417
2,LaMarcus Aldridge,C,SAS,34,129,36,53,87,1001,391,793,1754
3,Kyle Alexander,PF,MIA,23,0,0,2,0,2,1,2,13
4,Nickeil Alexander-Walker,SG,NOP,21,89,17,47,8,267,98,266,591
5,Grayson Allen,SG,MEM,24,52,10,38,2,330,117,251,718
6,Jarrett Allen,C,BRK,21,110,40,70,92,775,302,465,1852
7,Kadeem Allen,SG,NYK,27,21,5,10,2,50,19,44,117
8,Al-Farouq Aminu,PF,ORL,29,21,18,18,8,78,25,86,380
9,Justin Anderson,SF,BRK,26,8,0,10,6,28,10,38,107
10,Kyle Anderson,PF,MEM,26,162,54,67,37,390,157,331,1330
11,Ryan Anderson,C,HOU,31,2,1,2,0,5,2,7,14
12,Giannis Antetokounmpo,PF,MIL,25,354,61,63,66,1857,685,1238,1917
13,Kostas Antetokounmpo,PF,LAL,22,2,0,5,0,7,3,3,20
14,Thanasis Antetokounmpo,SF,MIL,27,15,7,20,2,55,24,48,129
15,Carmelo Anthony,PF,POR,35,85,49,58,27,895,336,782,1902
16,OG Anunoby,SF,TOR,22,108,96,69,45,733,286,566,2066
17,Ryan Arcidiacono,PG,CHI,25,96,27,58,3,261,90,220,930
19,Trevor Ariza,SF,SAC,34,50,35,32,7,192,64,165,791
20,Trevor Ariza,SF,POR,34,41,34,21,8,231,78,159,702
21,D.J. Augustin,PG,ORL,32,262,34,57,1,599,184,461,1420
22,Deandre Ayton,C,PHO,21,72,26,38,58,690,310,568,1236
23,Dwayne Bacon,SG,CHO,24,52,23,39,2,224,85,244,687
24,Marvin Bagley III,PF,SAC,20,10,6,13,12,185,78,167,334
25,Lonzo Ball,PG,NOP,22,438,88,63,38,745,277,687,2025
26,Mo Bamba,C,ORL,21,42,23,62,86,332,132,286,878
27,J.J. Barea,PG,DAL,35,112,5,29,2,222,85,207,450
28,Harrison Barnes,PF,SAC,27,159,43,72,12,1046,365,793,2482
29,RJ Barrett,SG,NYK,19,143,55,56,17,803,292,727,1704
30,Will Barton,SF,DEN,29,212,61,58,29,874,332,738,1916
32,Keita Bates-Diop,SF,MIN,24,30,17,37,20,251,87,206,646
33,Keita Bates-Diop,SF,DEN,24,0,2,7,4,37,13,28,98
34,Nicolas Batum,SF,CHO,31,66,17,22,8,79,28,81,505
35,Aron Baynes,C,PHO,33,67,10,42,23,481,183,381,934
37,Kent Bazemore,SF,POR,30,61,45,43,31,340,113,326,1111
38,Kent Bazemore,SG,SAC,30,32,29,25,9,257,87,208,577
39,Darius Bazley,PF,OKC,19,41,23,61,41,342,125,317,1130
40,Bradley Beal,SG,WAS,26,347,71,57,23,1741,593,1303,2053
42,Malik Beasley,SG,DEN,23,48,31,41,6,325,117,301,746
43,Malik Beasley,SG,MIN,23,27,9,14,2,290,110,233,463
44,Marco Belinelli,SG,SAS,33,69,12,57,1,361,123,314,883
46,Jordan Bell,C,MIN,25,14,2,27,10,83,32,60,235
47,Jordan Bell,PF,MEM,25,2,1,2,0,10,3,7,21
48,DeAndre' Bembry,SG,ATL,25,81,55,43,19,249,104,228,915
50,Dragan Bender,SF,MIL,22,9,0,7,5,26,10,21,91
51,Dragan Bender,SF,GSW,22,19,4,9,4,81,31,71,195
52,Dāvis Bertāns,PF,WAS,27,92,37,54,33,834,265,610,1583
53,Patrick Beverley,PG,LAC,31,183,54,51,25,405,147,341,1342
54,Khem Birch,C,ORL,27,50,20,48,23,212,73,143,922
55,Goga Bitadze,C,IND,20,23,10,54,37,172,70,150,471
56,Bismack Biyombo,C,CHO,27,50,10,53,49,393,151,278,1029
57,Nemanja Bjelica,PF,SAC,31,203,62,72,40,831,314,653,2011
58,Eric Bledsoe,PG,MIL,30,328,57,61,26,911,334,703,1646
59,Bogdan Bogdanović,SG,SAC,27,207,64,61,15,924,337,766,1766
60,Bojan Bogdanović,SF,UTA,30,131,34,63,7,1275,418,935,2083
61,Bol Bol,SF,DEN,20,6,2,7,6,40,14,28,87
63,Jonah Bolden,PF,PHI,24,0,1,4,0,4,2,3,14
64,Jonah Bolden,PF,PHO,24,0,2,3,2,6,2,8,33
65,Marques Bolden,C,CLE,21,0,1,1,0,0,0,0,3
66,Jordan Bone,PG,DET,22,8,1,10,0,12,5,20,53
67,Isaac Bonga,SF,WAS,20,76,45,66,22,330,118,234,1250
68,Devin Booker,SG,PHO,23,456,49,70,18,1863,627,1283,2512
69,Chris Boucher,PF,TOR,27,26,22,62,61,411,141,299,819
70,Brian Bowen,SG,IND,21,0,0,6,1,6,3,10,31
71,Ky Bowman,PG,GSW,22,131,44,45,10,335,134,321,1015
72,Avery Bradley,SG,LAL,29,63,43,49,5,423,170,383,1186
73,Tony Bradley,C,UTA,22,23,14,58,33,285,126,189,663
74,Jarrell Brantley,PF,UTA,23,11,3,9,5,24,10,28,96
75,Ignas Brazdeikis,SF,NYK,21,4,0,9,1,17,6,22,53
76,Corey Brewer,SG,SAC,33,2,4,5,0,5,2,4,33
77,Mikal Bridges,SF,PHO,23,129,102,73,46,667,247,484,2042
78,Miles Bridges,SF,CHO,21,114,40,65,48,843,319,753,1995
79,Oshae Brissett,SF,TOR,21,7,4,19,1,37,13,36,135
80,Ryan Broekhoff,SG,DAL,29,11,5,17,4,71,22,59,180
81,Malcolm Brogdon,PG,IND,27,381,35,54,10,893,326,744,1666
82,Dillon Brooks,SG,MEM,24,150,63,73,27,1181,435,1068,2112
83,Bruce Brown,SG,DET,23,230,63,58,29,517,198,447,1634
84,Charlie Brown,SG,ATL,22,2,2,10,2,20,6,19,40
85,Jaylen Brown,SF,BOS,23,118,65,57,20,1159,427,887,1934
86,Moses Brown,C,POR,20,1,1,9,1,11,4,10,33
87,Sterling Brown,SF,MIL,24,51,29,52,7,266,95,256,767
88,Troy Brown Jr.,SG,WAS,20,178,85,69,7,716,273,622,1782
89,Jalen Brunson,PG,DAL,23,188,22,57,4,466,181,388,1022
90,Thomas Bryant,C,WAS,22,83,25,46,49,609,243,418,1147
91,Reggie Bullock,SG,NYK,28,42,25,29,3,234,90,224,684
93,Trey Burke,PG,PHI,27,53,7,25,1,147,59,127,329
94,Trey Burke,PG,DAL,27,30,9,8,1,96,35,82,191
96,Alec Burks,SG,GSW,28,151,50,48,17,773,244,601,1390
97,Alec Burks,SG,PHI,28,38,12,18,0,220,77,167,364
98,Deonte Burton,SG,OKC,26,17,7,39,10,104,43,125,356
99,Jimmy Butler,SF,MIA,30,350,103,58,32,1157,345,758,1959
101,Bruno Caboclo,C,MEM,24,10,10,22,12,62,28,69,192
102,Bruno Caboclo,C,HOU,24,2,5,8,5,28,10,20,52
103,Devontae Cacok,C,LAL,23,1,0,1,0,6,3,6,9
104,Kentavious Caldwell-Pope,SG,LAL,26,111,57,69,14,645,237,507,1762
105,Vlatko Čančar,SF,DEN,22,3,1,14,1,17,6,15,45
106,Clint Capela,C,HOU,25,48,33,39,72,543,244,388,1279
108,DeMarre Carroll,SF,SAS,33,11,2,15,2,33,9,29,135
109,DeMarre Carroll,PF,HOU,33,14,6,9,3,54,16,37,155
110,Jevon Carter,PG,PHO,24,84,47,58,17,287,101,243,945
111,Vince Carter,SF,ATL,43,48,23,60,25,298,107,304,876
112,Wendell Carter Jr.,C,CHI,20,51,33,43,36,484,183,343,1256
113,Michael Carter-Williams,SG,ORL,28,109,49,45,22,323,111,260,833
114,Alex Caruso,PG,LAL,25,124,70,64,18,349,120,291,1175
116,Willie Cauley-Stein,C,GSW,26,60,45,41,50,323,144,257,940
117,Willie Cauley-Stein,C,DAL,26,10,4,13,11,67,31,45,157
118,Tyson Chandler,C,HOU,37,6,6,26,8,34,14,18,219
119,Wilson Chandler,SF,BRK,32,39,16,35,12,205,74,183,734
120,Joe Chealey,PG,CHO,24,1,4,4,0,2,0,7,33
121,Zylan Cheatham,SF,NOP,24,3,1,4,1,12,6,9,51
123,Chris Chiozza,PG,WAS,24,28,10,10,2,27,10,34,123
124,Chris Chiozza,PG,BRK,24,55,11,18,2,115,45,106,278
125,Marquese Chriss,PF,GSW,22,114,39,59,62,548,210,385,1196
127,Gary Clark,PF,HOU,25,12,2,18,7,70,23,59,212
128,Gary Clark,PF,ORL,25,5,4,24,15,86,31,74,355
129,Brandon Clarke,PF,MEM,23,81,32,58,48,700,296,479,1300
131,Jordan Clarkson,SG,CLE,27,70,17,29,8,423,144,326,666
132,Jordan Clarkson,SG,UTA,27,66,29,42,8,655,250,541,1039
133,Nicolas Claxton,PF,BRK,20,16,1,15,8,66,27,48,187
134,Chris Clemons,SG,HOU,22,27,9,33,6,161,57,142,291
135,Antonius Cleveland,SG,DAL,25,1,1,11,3,11,4,14,46
136,Amir Coffey,SG,LAC,22,14,5,18,2,58,23,54,159
137,John Collins,PF,ATL,22,60,31,41,66,885,353,605,1363
138,Zach Collins,PF,POR,22,16,5,11,5,77,32,68,290
139,Mike Conley,PG,UTA,32,208,36,47,5,675,232,567,1363
140,Pat Connaughton,SG,MIL,27,107,25,67,31,360,137,301,1243
141,Quinn Cook,PG,LAL,26,49,12,44,2,224,91,214,508
143,Tyler Cook,PF,CLE,22,1,1,11,0,19,7,10,35
144,Tyler Cook,PF,DEN,22,0,2,2,0,4,1,2,19
146,Robert Covington,PF,MIN,29,56,80,48,45,615,216,496,1411
147,Robert Covington,C,HOU,29,32,35,22,48,255,89,227,726
149,Allen Crabbe,SG,ATL,27,28,15,28,4,143,52,143,522
150,Allen Crabbe,SG,MIN,27,5,0,9,0,29,11,34,131
151,Torrey Craig,SF,DEN,29,47,23,58,36,315,124,269,1072
152,Jamal Crawford,SG,BRK,39,3,0,1,0,5,2,4,6
154,Jae Crowder,SF,MEM,29,125,47,45,14,447,147,399,1322
155,Jae Crowder,SF,MIA,29,36,25,20,10,237,79,164,553
156,Jarrett Culver,SG,MIN,20,110,57,63,38,580,230,569,1506
157,Seth Curry,SG,DAL,29,124,38,64,9,793,284,574,1576
158,Stephen Curry,PG,GSW,31,33,5,5,2,104,33,82,139
160,Troy Daniels,SG,LAL,28,14,8,41,3,174,62,158,456
161,Troy Daniels,SG,DEN,28,3,3,6,0,26,10,28,76
162,Anthony Davis,PF,LAL,26,200,91,62,143,1618,551,1096,2131
163,Ed Davis,C,UTA,30,12,11,28,9,51,22,46,303
164,Terence Davis,SG,TOR,22,115,39,72,14,543,199,436,1209
166,Dewayne Dedmon,C,SAC,30,15,15,34,26,175,69,171,541
167,Dewayne Dedmon,C,ATL,30,7,10,10,15,81,33,84,233
168,Matthew Dellavedova,PG,CLE,29,180,20,57,2,177,62,175,821
169,DeMar DeRozan,SF,SAS,30,380,70,68,20,1504,557,1049,2316
170,Cheick Diallo,C,PHO,23,22,11,47,12,219,92,142,479
171,Hamidou Diallo,SF,OKC,21,36,37,46,9,318,132,296,896
173,Gorgui Dieng,C,MIN,30,58,37,46,42,341,124,277,778
174,Gorgui Dieng,C,MEM,30,15,14,17,17,123,42,87,318
175,Spencer Dinwiddie,SG,BRK,26,432,40,64,21,1318,424,1021,1994
176,Donte DiVincenzo,SG,MIL,23,154,85,66,20,610,232,510,1520
177,Luka Dončić,PG,DAL,20,538,62,61,14,1759,581,1255,2047
178,Luguentz Dort,SG,OKC,20,27,31,36,4,244,86,218,820
179,Damyean Dotson,SG,NYK,25,57,23,48,4,321,120,290,836
180,Sekou Doumbouya,SF,DET,19,19,20,38,8,243,92,236,754
181,PJ Dozier,PG,DEN,23,63,14,29,6,168,65,157,412
182,Goran Dragić,PG,MIA,33,301,40,59,10,953,319,724,1663
184,Andre Drummond,C,DET,26,138,97,49,82,870,360,679,1654
185,Andre Drummond,C,CLE,26,14,12,8,11,140,58,105,225
186,Jared Dudley,SF,LAL,34,28,15,45,3,68,24,60,364
187,Kris Dunn,PG,CHI,25,173,101,51,17,373,152,342,1269
188,Carsen Edwards,SG,BOS,21,24,12,37,4,121,42,128,351
189,Henry Ellenson,PF,BRK,23,1,0,5,0,2,1,7,15
190,Wayne Ellington,SG,NYK,32,44,13,36,4,183,61,174,558
191,Joel Embiid,C,PHI,25,152,45,51,65,1172,382,801,1506
193,James Ennis,SF,PHI,29,41,23,49,14,285,100,226,776
194,James Ennis,SF,ORL,29,22,12,20,8,169,60,133,489
195,Drew Eubanks,PF,SAS,22,15,5,22,17,107,43,67,272
197,Jacob Evans,SG,GSW,22,31,11,27,12,128,45,133,414
198,Jacob Evans,SG,MIN,22,0,0,2,0,0,0,1,4
200,Dante Exum,SG,UTA,24,7,1,11,2,24,10,23,83
201,Dante Exum,SG,CLE,24,33,12,24,6,135,46,96,402
202,Tacko Fall,C,BOS,24,1,1,7,4,23,11,14,33
203,Derrick Favors,C,NOP,28,81,30,51,46,459,209,339,1243
204,Cristiano Felício,PF,CHI,27,16,10,22,2,86,34,54,386
205,Terrance Ferguson,SF,OKC,21,51,27,56,17,220,78,220,1257
206,Bruno Fernando,C,ATL,21,49,18,56,17,240,103,199,713
207,Yogi Ferrell,PG,SAC,26,69,18,50,4,218,79,188,530
208,Dorian Finney-Smith,PF,DAL,26,114,45,71,39,678,243,522,2120
209,Bryn Forbes,SG,SAS,26,108,33,63,0,707,242,581,1579
210,Evan Fournier,SG,ORL,27,209,71,66,15,1221,434,929,2076
211,De'Aaron Fox,PG,SAC,22,348,74,51,25,1077,391,815,1634
212,Melvin Frazier,SG,ORL,23,3,9,19,2,40,15,34,126
213,Michael Frazier,SG,HOU,25,2,2,13,0,27,7,29,145
214,Tim Frazier,PG,DET,29,93,14,27,4,97,34,94,355
215,Markelle Fultz,PG,ORL,21,369,90,72,11,870,359,772,1996
217,Wenyen Gabriel,PF,SAC,22,3,3,11,2,19,6,17,61
218,Wenyen Gabriel,PF,POR,22,5,8,19,5,44,15,31,174
219,Daniel Gafford,C,CHI,21,21,13,43,56,220,94,134,609
220,Danilo Gallinari,PF,OKC,31,119,42,62,5,1160,358,817,1834
221,Langston Galloway,SG,DET,28,101,48,66,11,677,236,542,1702
222,Darius Garland,PG,CLE,20,229,42,59,4,728,280,699,1824
223,Marc Gasol,C,TOR,35,147,34,44,38,331,119,279,1161
224,Rudy Gay,PF,SAS,33,114,35,67,33,726,266,596,1461
225,Paul George,SF,LAC,29,185,68,48,20,1033,343,782,1419
226,Taj Gibson,C,NYK,34,52,27,62,30,379,167,286,1025
227,Harry Giles,PF,SAC,21,60,22,46,18,316,139,251,667
228,Shai Gilgeous-Alexander,SG,OKC,21,232,79,70,47,1331,478,1015,2428
229,Rudy Gobert,C,UTA,27,101,51,68,135,1026,386,557,2333
230,Brandon Goodwin,PG,ATL,24,51,12,34,4,206,76,190,430
231,Aaron Gordon,PF,ORL,24,228,51,62,39,894,335,767,2017
232,Eric Gordon,SF,HOU,31,54,23,36,13,520,171,463,1016
233,Devonte' Graham,PG,CHO,24,471,62,63,15,1145,368,963,2211
235,Treveon Graham,SG,MIN,26,30,17,33,2,171,62,175,663
236,Treveon Graham,SG,ATL,26,15,7,22,4,72,25,67,266
237,Jerami Grant,PF,DEN,25,88,50,71,57,851,303,634,1892
238,Jerian Grant,PG,WAS,27,9,1,6,1,27,10,27,80
239,Josh Gray,PG,NOP,26,2,0,2,0,2,1,2,23
240,Danny Green,SG,LAL,32,91,85,68,32,547,197,474,1687
241,Draymond Green,PF,GSW,29,266,59,43,33,345,123,316,1222
242,JaMychal Green,PF,LAC,29,49,29,63,24,430,151,352,1307
243,Javonte Green,SF,BOS,26,26,24,48,8,163,63,126,468
245,Jeff Green,PF,UTA,33,20,12,30,10,233,75,195,553
246,Jeff Green,C,HOU,33,30,14,18,9,220,84,149,407
247,Blake Griffin,PF,DET,30,59,7,18,7,279,88,250,512
248,Marko Guduric,SG,MEM,24,45,12,44,8,173,62,157,484
249,Kyle Guy,SG,SAC,22,1,0,3,0,4,2,5,10
250,Rui Hachimura,PF,WAS,21,87,37,48,8,649,254,545,1444
251,Devon Hall,SG,OKC,24,13,4,11,1,20,6,30,81
253,Donta Hall,PF,DET,22,2,1,4,1,6,1,4,48
254,Donta Hall,PF,BRK,22,2,2,5,5,33,14,18,85
255,Dusty Hannahs,SG,MEM,26,0,0,2,0,12,4,9,13
256,Tim Hardaway Jr.,SG,DAL,27,137,41,71,5,1121,384,884,2091
257,James Harden,SG,HOU,30,512,125,68,60,2335,672,1514,2483
259,Maurice Harkless,SF,LAC,26,48,49,50,30,275,112,217,1141
260,Maurice Harkless,SF,NYK,26,20,9,12,3,82,30,66,286
261,Jared Harper,PG,PHO,22,0,0,3,0,2,1,4,8
262,Montrezl Harrell,C,LAC,26,107,39,63,72,1173,471,812,1749
263,Gary Harris,SG,DEN,25,118,76,56,14,581,218,519,1780
264,Joe Harris,SF,BRK,28,144,41,69,17,998,381,784,2123
265,Tobias Harris,PF,PHI,27,227,53,72,40,1411,553,1173,2469
266,Shaquille Harrison,SF,CHI,26,49,34,43,19,209,77,165,484
267,Josh Hart,SF,NOP,24,108,63,65,23,656,225,532,1755
268,Isaiah Hartenstein,C,HOU,21,18,9,23,12,107,44,67,266
269,Udonis Haslem,PF,MIA,39,1,0,4,0,12,4,11,44
270,Jaxson Hayes,C,NOP,19,56,26,64,55,472,174,259,1080
271,Gordon Hayward,SF,BOS,29,212,38,52,22,909,350,700,1740
273,John Henson,PF,CLE,29,43,16,29,32,145,61,120,412
274,John Henson,PF,DET,29,11,8,11,10,76,34,51,188
275,Dewan Hernandez,C,TOR,23,3,1,6,0,14,5,14,28
277,Juan Hernangómez,PF,DEN,24,22,5,34,5,107,38,110,422
278,Juan Hernangómez,PF,MIN,24,18,14,14,4,181,62,137,411
279,Willy Hernangómez,C,CHO,25,29,10,31,7,190,74,139,375
280,Tyler Herro,SG,MIA,20,121,34,55,9,743,270,631,1508
281,Kevin Hervey,PF,OKC,23,5,1,10,1,17,7,27,52
282,Mario Hezonja,PF,POR,24,50,36,53,9,256,92,218,871
283,Buddy Hield,SG,SAC,27,213,66,72,17,1382,498,1162,2216
284,George Hill,PG,MIL,33,180,47,59,5,554,194,376,1271
286,Solomon Hill,SF,MEM,28,94,31,48,7,274,96,233,901
287,Solomon Hill,SF,MIA,28,10,12,11,5,49,14,45,187
288,Jaylen Hoard,SF,POR,20,4,5,13,0,38,15,32,103
289,Aaron Holiday,PG,IND,23,225,55,66,16,627,233,563,1617
290,Jrue Holiday,SG,NOP,29,408,99,61,48,1167,458,1006,2117
291,Justin Holiday,SG,IND,30,93,87,73,46,603,208,486,1826
292,Rondae Hollis-Jefferson,SF,TOR,25,106,46,60,23,418,155,329,1122
293,Richaun Holmes,C,SAC,26,42,41,44,56,539,223,344,1242
294,Rodney Hood,SF,POR,27,32,17,21,4,230,87,172,619
295,Al Horford,C,PHI,33,270,52,67,61,798,319,709,2025
296,Talen Horton-Tucker,SG,LAL,19,6,8,6,1,34,14,30,81
297,Danuel House,SF,HOU,26,85,67,63,34,662,230,539,1913
298,Dwight Howard,C,LAL,34,45,31,69,79,517,202,277,1306
299,William Howard,PF,HOU,26,1,0,2,0,0,0,4,13
300,Kevin Huerter,SG,ATL,21,213,51,56,27,684,252,610,1760
301,De'Andre Hunter,SF,ATL,22,112,44,63,18,778,280,683,2018
302,Chandler Hutchison,SF,CHI,23,26,27,28,7,218,80,175,527
303,Serge Ibaka,C,TOR,30,77,28,55,46,845,343,670,1485
304,Andre Iguodala,SG,MIA,36,51,14,21,21,96,38,88,418
305,Ersan İlyasova,PF,MIL,32,49,24,63,17,414,146,313,986
306,Joe Ingles,SF,UTA,32,373,65,72,11,707,246,553,2137
307,Brandon Ingram,PF,NOP,22,259,61,62,38,1477,507,1096,2104
308,Kyrie Irving,PG,BRK,27,128,27,20,10,548,199,416,658
309,Jonathan Isaac,SF,ORL,22,48,53,34,78,404,156,332,980
310,Wesley Iwundu,SF,ORL,25,60,25,52,13,300,97,233,953
311,Frank Jackson,PG,NOP,21,61,17,59,4,371,134,331,797
312,Jaren Jackson Jr.,C,MEM,20,78,40,57,92,990,353,753,1622
313,Josh Jackson,SG,MEM,22,35,18,22,9,198,70,159,381
314,Justin Jackson,PF,DAL,24,52,15,65,10,360,135,341,1045
316,Reggie Jackson,PG,DET,29,72,8,14,1,209,76,198,381
317,Reggie Jackson,PG,LAC,29,54,5,17,4,161,58,128,362
318,Justin James,SG,SAC,23,18,6,36,9,89,35,84,232
319,LeBron James,PG,LAL,35,684,78,67,36,1698,643,1303,2316
320,Amile Jefferson,PF,ORL,26,4,1,18,3,15,5,14,74
321,DaQuan Jeffries,SG,SAC,22,7,4,13,1,50,20,40,141
322,Ty Jerome,PG,PHO,22,44,15,31,3,102,38,113,328
323,Alize Johnson,SF,IND,23,7,3,17,2,34,12,29,118
324,B.J. Johnson,SF,ORL,24,3,3,10,0,30,9,32,83
325,Cameron Johnson,PF,PHO,23,69,36,57,20,504,176,405,1255
327,James Johnson,PF,MIA,32,21,6,18,13,102,39,87,281
328,James Johnson,PF,MIN,32,53,19,14,19,168,64,128,338
329,Keldon Johnson,SF,SAS,20,15,14,17,2,154,53,89,301
