,Player,Pos,Tm,Age,AST,STL,G,BLK,PTS,FG,FGA,MP
330,Stanley Johnson,PF,TOR,23,20,6,25,4,60,22,59,150
332,Tyler Johnson,SG,PHO,27,50,12,31,8,178,65,171,515
333,Tyler Johnson,SG,BRK,27,24,4,8,1,96,32,79,194
334,Nikola Jokić,C,DEN,24,512,85,73,44,1456,565,1071,2336
335,Damian Jones,C,ATL,24,35,26,55,40,306,121,178,887
336,Derrick Jones Jr.,SF,MIA,22,62,58,59,38,500,184,349,1375
337,Tyus Jones,PG,MEM,23,285,59,65,6,484,197,429,1232
338,DeAndre Jordan,C,BRK,31,105,18,56,52,465,191,287,1234
339,Cory Joseph,PG,SAC,28,251,53,72,21,458,171,412,1759
340,Mfiondu Kabengele,C,LAC,22,2,2,12,2,42,14,32,64
341,Frank Kaminsky,C,PHO,26,75,14,39,10,378,138,307,777
342,Enes Kanter,C,BOS,27,56,22,58,41,469,199,348,983
343,Luke Kennard,SG,DET,23,115,12,28,6,442,151,342,922
344,Stanton Kidd,SF,UTA,27,1,0,4,0,0,0,3,15
346,Michael Kidd-Gilchrist,PF,CHO,26,10,0,12,3,48,18,53,160
347,Michael Kidd-Gilchrist,SF,DAL,26,4,2,13,3,12,4,13,121
348,Louis King,SF,DET,20,5,2,10,0,20,8,21,62
349,Maxi Kleber,C,DAL,28,88,25,74,83,672,237,514,1890
351,Brandon Knight,PG,CLE,28,31,5,16,2,79,28,86,241
352,Brandon Knight,PG,DET,28,38,5,9,1,104,31,81,221
353,Kevin Knox,SF,NYK,20,61,23,65,28,419,144,401,1166
354,John Konchar,SG,MEM,23,22,7,19,3,54,24,37,181
355,Furkan Korkmaz,SG,PHI,22,79,41,72,16,704,242,563,1559
356,Luke Kornet,C,CHI,24,32,11,36,26,215,82,187,559
357,Kyle Korver,SF,MIL,38,68,26,58,12,386,126,293,960
358,Rodions Kurucs,PF,BRK,21,51,25,47,5,215,79,177,684
359,Kyle Kuzma,PF,LAL,24,80,28,61,26,782,291,668,1526
360,Skal Labissière,C,POR,23,42,7,33,31,190,81,147,567
361,Jeremy Lamb,SG,IND,27,96,55,46,22,577,216,479,1291
362,Romeo Langford,SG,BOS,20,13,8,32,8,79,28,80,370
363,Zach LaVine,SG,CHI,24,254,88,60,28,1530,539,1199,2085
364,Vic Law,SF,ORL,24,3,2,8,0,15,6,18,62
365,Jake Layman,PF,MIN,25,15,17,23,10,210,81,179,505
366,T.J. Leaf,PF,IND,22,9,10,28,4,84,36,86,222
367,Jalen Lecque,PG,PHO,19,2,0,5,0,10,4,10,32
368,Courtney Lee,SG,DAL,34,12,18,24,6,107,40,82,345
369,Damion Lee,SG,GSW,27,133,50,49,6,621,213,511,1423
371,Alex Len,C,ATL,26,42,20,40,33,349,142,260,745
372,Alex Len,C,SAC,26,8,3,15,15,89,35,59,225
373,Kawhi Leonard,SF,LAC,28,280,103,57,33,1543,532,1133,1848
374,Meyers Leonard,C,MIA,27,55,14,51,15,309,119,234,1034
375,Caris LeVert,SG,BRK,25,199,53,45,10,842,311,732,1330
376,Damian Lillard,PG,POR,29,530,70,66,22,1978,624,1349,2474
377,Nassir Little,PF,POR,19,22,13,48,14,172,65,151,573
378,Kevon Looney,C,GSW,23,20,12,20,6,68,29,79,262
379,Brook Lopez,C,MIL,31,99,46,68,163,813,292,671,1817
380,Robin Lopez,C,MIL,31,45,10,66,45,357,147,299,958
381,Kevin Love,PF,CLE,31,178,33,56,19,987,327,727,1780
382,Kyle Lowry,PG,TOR,33,433,82,58,26,1126,334,803,2098
383,Timothé Luwawu-Cabarrot,SG,BRK,24,29,18,47,7,365,117,269,853
384,Trey Lyles,PF,SAS,24,69,28,63,28,404,153,343,1271
385,Daryl Macon,SG,MIA,24,1,0,4,0,3,1,3,14
386,J.P. Macura,SG,CLE,24,0,0,1,0,0,0,0,1
387,Josh Magette,PG,ORL,30,5,3,8,1,12,5,15,38
388,Ian Mahinmi,C,WAS,33,49,31,38,44,283,104,210,808
389,Thon Maker,C,DET,22,43,25,60,39,281,93,193,776
390,Terance Mann,SG,LAC,23,53,11,41,5,99,37,79,362
391,Boban Marjanović,C,DAL,31,20,8,44,10,289,121,211,422
392,Lauri Markkanen,PF,CHI,22,74,42,50,23,737,251,591,1492
393,Caleb Martin,SF,CHO,24,23,12,18,7,111,37,84,317
394,Cody Martin,SF,CHO,24,95,39,48,9,238,89,207,903
395,Jeremiah Martin,PG,BRK,23,18,7,9,2,64,24,53,99
396,Kelan Martin,SF,MIN,24,23,7,31,9,197,71,181,495
397,Frank Mason III,PG,MIL,25,29,5,9,1,62,23,51,118
398,Garrison Mathews,SG,WAS,23,10,8,18,1,98,24,56,227
399,Wesley Matthews,SG,MIL,33,92,38,67,9,494,167,422,1635
400,Luc Mbah a Moute,PF,HOU,33,0,2,3,0,5,2,5,25
401,Patrick McCaw,SF,TOR,24,79,39,37,4,170,67,162,908
402,CJ McCollum,SG,POR,28,310,54,70,42,1556,611,1356,2556
403,T.J. McConnell,PG,IND,27,355,56,71,11,464,212,411,1326
404,Jalen McDaniels,PF,CHO,22,13,8,16,3,89,33,70,293
405,Doug McDermott,PF,IND,28,78,12,69,5,710,267,547,1372
406,JaVale McGee,C,LAL,32,37,36,68,94,446,195,306,1130
407,Rodney McGruder,SG,LAC,28,36,26,56,8,187,72,181,871
408,Alfonzo McKinnie,SF,CLE,27,14,23,40,8,182,73,171,593
409,Jordan McLaughlin,PG,MIN,23,125,34,30,4,229,87,178,590
410,Ben McLemore,SG,HOU,26,58,45,71,16,715,242,545,1619
412,Jordan McRae,SG,WAS,28,82,19,29,15,370,133,317,654
413,Jordan McRae,SG,DEN,28,4,2,4,1,9,2,6,32
414,Jordan McRae,SG,DET,28,7,0,4,0,47,14,43,98
415,Nicolò Melli,C,NOP,29,82,34,60,23,395,136,323,1042
416,De'Anthony Melton,PG,MEM,21,175,77,60,20,455,161,401,1167
417,Chimezie Metu,PF,SAS,22,10,3,18,6,58,24,42,105
418,Khris Middleton,SF,MIL,28,265,53,62,7,1297,471,947,1853
419,Eric Mika,PF,SAC,25,0,0,1,0,6,2,3,19
420,C.J. Miles,SG,WAS,32,12,10,10,4,64,19,59,161
421,Malcolm Miller,SF,TOR,26,11,5,28,2,35,12,29,162
422,Patty Mills,PG,SAS,31,118,53,66,6,767,258,598,1485
423,Paul Millsap,PF,DEN,34,83,44,51,30,591,211,438,1240
424,Shake Milton,SG,PHI,23,104,20,40,7,377,134,277,805
425,Donovan Mitchell,SG,UTA,23,294,70,69,14,1655,602,1342,2364
426,Naz Mitrou-Long,SG,IND,26,8,1,5,1,14,6,17,47
427,Adam Mokoka,SG,CHI,21,4,4,11,0,32,12,28,112
428,Malik Monk,SG,CHO,21,114,25,55,16,564,212,488,1169
429,Matt Mooney,SG,CLE,22,1,2,4,1,2,1,4,19
430,E'Twaun Moore,SG,NOP,30,78,32,56,11,466,186,437,1020
431,Ja Morant,PG,MEM,20,488,58,67,18,1193,447,937,2074
432,Juwan Morgan,PF,UTA,22,6,1,21,2,36,15,26,134
434,Marcus Morris,SF,NYK,30,59,34,43,17,841,281,636,1387
435,Marcus Morris,PF,LAC,30,27,13,19,13,192,74,174,549
437,Markieff Morris,PF,DET,30,69,26,44,11,486,175,389,988
438,Markieff Morris,PF,LAL,30,8,5,14,6,74,28,69,199
439,Monte Morris,PG,DEN,24,255,55,73,17,660,260,566,1636
440,Johnathan Motley,PF,LAC,24,8,3,13,0,28,11,15,41
441,Emmanuel Mudiay,PG,UTA,23,116,24,54,10,395,151,327,850
442,Mychal Mulder,SG,GSW,25,8,2,7,1,77,26,67,204
443,Dejounte Murray,PG,SAS,23,271,111,66,17,720,294,637,1687
444,Jamal Murray,PG,DEN,22,284,67,59,17,1091,408,894,1904
445,Džanan Musa,SF,BRK,20,43,15,40,1,192,64,172,487
446,Mike Muscala,C,OKC,28,40,9,47,12,226,77,189,572
447,Sviatoslav Mykhailiuk,SF,DET,22,106,41,56,4,504,166,405,1265
448,Abdel Nader,SF,OKC,26,38,23,55,20,345,123,263,867
449,Larry Nance Jr.,C,CLE,27,123,56,56,22,564,229,431,1472
451,Shabazz Napier,PG,MIN,28,187,40,36,7,347,114,283,856
452,Shabazz Napier,PG,WAS,28,75,29,20,4,231,74,173,488
453,Raul Neto,PG,PHI,27,95,24,54,6,275,101,222,668
454,Malik Newman,SG,CLE,22,0,0,1,0,2,0,2,4
455,Georges Niang,PF,UTA,26,44,18,66,5,392,141,322,923
456,Joakim Noah,C,LAC,34,7,1,5,1,14,4,8,50
457,Nerlens Noel,C,OKC,25,57,59,61,91,449,184,269,1127
459,Zach Norvell,SG,LAL,22,0,0,2,0,0,0,1,5
460,Zach Norvell,SG,GSW,22,3,2,3,0,10,3,11,36
461,Jaylen Nowell,SG,MIN,20,19,3,15,1,57,19,53,151
462,Frank Ntilikina,PG,NYK,21,172,54,57,16,357,131,333,1187
463,Kendrick Nunn,SG,MIA,24,220,56,67,15,1024,401,914,1962
464,Jusuf Nurkić,C,POR,25,32,11,8,16,141,54,109,253
465,David Nwaba,SF,BRK,27,8,11,20,12,104,37,71,268
466,Royce O'Neale,PF,UTA,26,180,59,71,32,450,158,365,2049
467,Kyle O'Quinn,C,PHI,29,51,7,29,24,102,42,85,313
468,Semi Ojeleye,PF,BOS,25,37,21,69,5,236,80,196,1011
469,Jahlil Okafor,C,NOP,24,37,7,30,22,243,101,162,467
470,Elie Okobo,PG,PHO,22,115,24,55,4,219,72,181,719
471,Josh Okogie,SG,MIN,21,99,68,62,26,533,170,398,1547
472,KZ Okpala,SF,MIA,20,1,2,5,1,7,3,5,26
473,Victor Oladipo,SG,IND,27,56,17,19,4,275,97,246,528
474,Kelly Olynyk,C,MIA,28,116,45,67,23,549,184,398,1300
475,Miye Oni,SG,UTA,22,4,4,10,2,35,12,32,109
476,Cedi Osman,SF,CLE,24,154,54,65,16,718,266,609,1910
477,Kelly Oubre Jr.,SF,PHO,24,85,71,56,40,1046,373,826,1933
478,Tariq Owens,PF,PHO,24,0,1,3,0,4,1,5,15
479,Jeremy Pargo,PG,GSW,33,8,1,3,0,25,11,22,44
481,Jabari Parker,PF,ATL,24,58,42,32,15,480,198,393,837
482,Jabari Parker,PF,SAC,24,10,3,6,1,51,21,36,80
483,Chandler Parsons,SF,ATL,31,3,4,5,1,14,5,18,54
484,Eric Paschall,PF,GSW,23,127,32,60,13,837,318,640,1654
485,Anžejs Pasečņiks,C,WAS,24,18,9,27,12,156,61,116,437
486,Patrick Patterson,PF,LAC,30,41,7,59,3,292,95,233,776
487,Justin Patton,C,OKC,22,2,0,5,0,9,4,10,24
488,Chris Paul,PG,OKC,34,472,111,70,11,1232,434,887,2208
489,Cameron Payne,PG,PHO,25,24,8,8,2,87,33,68,183
490,Elfrid Payton,PG,NYK,25,323,70,45,17,449,193,440,1246
491,Gary Payton II,PG,WAS,27,48,33,29,7,113,48,116,432
492,Norvel Pelle,C,PHI,26,8,3,24,31,57,25,48,232
493,Theo Pinson,SG,BRK,24,56,17,33,4,120,45,155,365
494,Mason Plumlee,C,DEN,29,154,33,61,38,437,177,288,1057
495,Jakob Poeltl,C,SAS,24,116,37,66,95,372,166,266,1171
496,Vincent Poirier,C,BOS,26,8,2,22,9,41,17,36,130
497,Shamorie Ponds,PG,TOR,21,2,0,4,1,9,3,5,11
498,Jordan Poole,SG,GSW,20,134,35,57,10,503,167,502,1274
499,Kevin Porter Jr.,SF,CLE,19,109,46,50,14,498,186,421,1162
500,Michael Porter Jr.,PF,DEN,21,46,27,55,25,512,195,383,903
501,Otto Porter,SF,CHI,26,25,15,14,6,167,62,140,331
502,Bobby Portis,C,NYK,24,98,32,66,18,668,265,589,1393
503,Kristaps Porziņģis,PF,DAL,24,102,41,57,115,1164,398,932,1814
504,Dwight Powell,C,DAL,28,59,34,40,22,376,146,229,1061
505,Norman Powell,SG,TOR,26,91,60,52,21,830,296,598,1479
506,Chasson Randle,PG,GSW,26,5,2,3,0,5,0,4,40
507,Julius Randle,PF,NYK,25,198,51,64,22,1248,463,1006,2080
508,Josh Reaves,SG,DAL,22,3,0,4,0,8,3,9,28
509,Cam Reddish,SF,ATL,20,87,62,58,28,610,213,554,1551
510,J.J. Redick,SG,NOP,35,119,20,60,10,917,286,631,1581
511,Naz Reid,C,MIN,20,35,19,30,22,269,100,243,495
512,Josh Richardson,SG,PHI,26,162,52,55,36,755,278,646,1693
513,Austin Rivers,SG,HOU,27,113,49,68,10,596,211,501,1594
514,Andre Roberson,SG,OKC,28,4,1,7,3,20,8,29,87
515,Duncan Robinson,SF,MIA,25,102,35,73,19,983,323,687,2166
517,Glenn Robinson III,SF,GSW,26,85,45,48,14,619,244,507,1516
518,Glenn Robinson III,SF,PHI,26,11,9,14,2,108,44,85,270
520,Jerome Robinson,SG,LAC,22,46,13,42,8,122,46,136,476
521,Jerome Robinson,SG,WAS,22,41,15,21,9,197,69,174,503
522,Justin Robinson,PG,WAS,22,7,0,9,1,13,5,12,49
523,Mitchell Robinson,C,NYK,21,36,52,61,119,590,253,341,1412
524,Isaiah Roby,SF,OKC,21,0,0,3,0,0,0,1,11
525,Rajon Rondo,PG,LAL,33,240,40,48,2,342,137,328,984
526,Derrick Rose,PG,DET,31,278,40,50,16,904,369,753,1298
527,Terrence Ross,SG,ORL,28,82,77,69,24,1016,341,846,1889
528,Terry Rozier,PG,CHO,25,259,61,63,10,1134,398,941,2164
529,Ricky Rubio,PG,PHO,29,570,94,65,11,847,287,692,2016
531,D'Angelo Russell,PG,GSW,23,206,31,33,9,779,273,635,1060
532,D'Angelo Russell,PG,MIN,23,79,17,12,4,260,87,211,392
533,Domantas Sabonis,C,IND,23,310,47,62,30,1147,458,848,2159
534,Luka Šamanić,PF,SAS,20,6,0,3,2,16,5,16,48
535,JaKarr Sampson,SF,IND,26,21,16,34,12,156,68,115,471
536,Dario Šarić,PF,PHO,25,123,37,66,16,704,256,538,1632
537,Tomáš Satoranský,PG,CHI,28,354,80,65,7,644,237,551,1878
538,Admiral Schofield,SF,WAS,22,15,8,33,4,99,35,92,368
539,Dennis Schröder,PG,OKC,26,262,45,65,14,1229,453,965,1999
540,Mike Scott,PF,PHI,31,56,21,68,5,408,149,350,1207
541,Thabo Sefolosha,PF,HOU,35,25,24,41,12,92,37,91,436
542,Collin Sexton,SG,CLE,21,192,65,65,7,1349,513,1086,2143
543,Landry Shamet,SG,LAC,22,99,20,53,10,492,158,391,1452
544,Marial Shayok,SG,PHI,24,1,0,4,1,11,3,12,28
545,Iman Shumpert,SG,BRK,29,12,12,13,2,54,21,64,241
546,Pascal Siakam,PF,TOR,25,207,61,60,53,1371,500,1104,2110
547,Chris Silva,PF,MIA,23,23,9,44,21,133,48,78,346
548,Ben Simmons,PG,PHI,23,455,119,57,33,937,375,647,2017
549,Anfernee Simons,SG,POR,20,97,26,70,10,579,214,536,1449
550,Alen Smailagić,PF,GSW,19,13,3,14,4,59,20,40,139
551,Marcus Smart,SG,BOS,25,291,101,60,29,776,256,682,1919
552,Dennis Smith Jr.,PG,NYK,22,98,28,34,8,187,72,211,537
553,Ish Smith,PG,WAS,31,334,59,68,30,740,308,689,1787
554,J.R. Smith,SG,LAL,34,3,1,6,0,17,7,22,79
555,Zhaire Smith,SG,PHI,20,2,3,7,0,8,3,11,32
556,Tony Snell,SF,DET,28,127,32,59,15,474,170,382,1641
557,Omari Spellman,PF,GSW,22,47,33,49,24,370,127,295,886
558,Max Strus,SG,CHI,23,0,0,2,0,5,2,3,6
559,Edmond Sumner,PG,IND,24,55,15,31,9,152,61,142,447
561,Caleb Swanigan,PF,SAC,22,2,1,7,2,5,2,4,23
562,Caleb Swanigan,PF,POR,22,29,2,20,5,60,26,43,265
563,Jayson Tatum,PF,BOS,21,200,93,66,57,1547,552,1226,2265
565,Jeff Teague,PG,MIN,31,208,25,34,13,448,145,324,945
566,Jeff Teague,PG,ATL,31,100,19,25,6,193,68,165,519
567,Garrett Temple,SG,BRK,33,156,49,62,29,641,222,587,1730
568,Daniel Theis,C,BOS,27,111,37,65,84,601,241,426,1566
569,Isaiah Thomas,PG,WAS,30,146,13,40,6,488,174,426,925
570,Khyri Thomas,SG,DET,23,3,3,8,0,17,5,17,61
571,Lance Thomas,SF,BRK,31,6,0,7,0,24,8,23,98
572,Matt Thomas,SG,TOR,25,22,10,41,1,202,73,150,440
573,Tristan Thompson,C,CLE,28,120,33,57,50,684,288,562,1721
574,Sindarius Thornwell,SG,NOP,25,4,1,2,1,16,6,11,35
575,Matisse Thybulle,SG,PHI,22,79,94,65,47,305,112,265,1287
577,Anthony Tolliver,PF,POR,34,29,8,33,9,129,43,117,554
578,Anthony Tolliver,PF,SAC,34,3,4,9,1,9,3,17,82
579,Anthony Tolliver,PF,MEM,34,10,7,13,1,62,19,48,236
580,Juan Toscano-Anderson,SF,GSW,26,26,13,13,5,69,29,63,272
581,Karl-Anthony Towns,C,MIN,24,153,33,35,42,926,316,622,1187
582,Gary Trent Jr.,SG,POR,21,61,48,61,16,541,196,441,1332
583,Allonzo Trier,PG,NYK,24,28,3,24,4,155,51,106,291
584,P.J. Tucker,PF,HOU,34,115,77,72,36,500,177,426,2467
585,Rayjon Tucker,SG,UTA,22,5,1,20,1,62,20,43,161
586,Evan Turner,PG,ATL,31,38,9,19,8,62,25,67,251
587,Myles Turner,C,IND,23,72,46,62,132,749,268,587,1826
589,Jarrod Uthoff,SF,MEM,26,0,1,4,0,4,1,7,14
590,Jarrod Uthoff,SF,WAS,26,0,0,3,0,15,6,11,39
591,Jonas Valančiūnas,C,MEM,27,131,30,70,76,1044,432,739,1845
592,Denzel Valentine,SF,CHI,26,43,26,36,6,246,97,237,488
594,Jarred Vanderbilt,SF,DEN,20,2,3,9,1,10,5,7,41
595,Jarred Vanderbilt,PF,MIN,20,0,0,2,0,2,0,1,5
596,Fred VanVleet,PG,TOR,25,357,100,54,17,952,319,773,1928
597,Gabe Vincent,PG,MIA,23,6,5,9,0,22,8,37,83
599,Noah Vonleh,C,MIN,24,26,11,29,6,119,47,86,347
600,Noah Vonleh,PF,DEN,24,2,0,7,0,13,5,6,30
601,Nikola Vučević,C,ORL,29,222,54,62,47,1215,493,1033,1998
602,Dean Wade,PF,CLE,23,2,2,12,4,20,9,13,71
603,Moritz Wagner,C,WAS,22,56,28,45,19,393,145,266,835
605,Dion Waiters,SG,MIA,28,3,0,3,2,28,10,26,42
606,Dion Waiters,SG,LAL,28,17,4,7,4,83,31,73,165
607,Kemba Walker,PG,BOS,29,268,48,56,28,1145,378,889,1742
608,Lonnie Walker,SG,SAS,21,68,32,61,14,389,152,357,988
609,Tyrone Wallace,SG,ATL,25,13,7,14,1,40,14,44,160
610,Taurean Prince,SF,BRK,25,116,57,64,25,773,278,739,1857
612,Derrick Walton,PG,LAC,24,22,4,23,0,50,17,36,222
613,Derrick Walton,PG,DET,24,5,3,3,0,3,1,3,26
614,Brad Wanamaker,PG,BOS,30,179,61,71,14,487,162,362,1369
615,T.J. Warren,SF,IND,26,99,78,67,34,1326,534,997,2202
616,P.J. Washington,PF,CHO,21,123,51,58,44,710,268,589,1759
617,Yuta Watanabe,SG,MEM,25,5,5,18,1,36,15,34,105
618,Tremont Waters,PG,BOS,22,16,10,11,2,40,14,49,119
620,Paul Watson,SG,ATL,25,3,1,2,0,0,0,7,17
621,Paul Watson,SF,TOR,25,5,3,8,1,31,10,19,70
622,Quinndary Weatherspoon,SG,SAS,23,11,3,11,1,12,5,17,78
623,Russell Westbrook,PG,HOU,31,401,93,57,20,1553,604,1281,2049
624,Coby White,SG,CHI,19,175,49,65,6,859,312,792,1674
625,Derrick White,SG,SAS,25,241,44,68,59,765,253,552,1677
626,Hassan Whiteside,C,POR,30,78,26,67,196,1040,436,702,2008
628,Andrew Wiggins,SF,MIN,24,155,29,42,36,942,351,790,1455
629,Andrew Wiggins,SG,GSW,24,43,16,12,17,233,86,188,403
630,Grant Williams,PF,BOS,21,68,30,69,36,237,87,211,1043
631,Johnathan Williams,C,WAS,24,8,1,15,8,45,19,34,180
632,Kenrich Williams,PF,NOP,25,57,27,39,21,136,51,147,832
633,Lou Williams,SG,LAC,33,365,43,65,12,1185,391,936,1864
635,Marvin Williams,PF,CHO,33,41,26,41,22,275,94,210,808
636,Marvin Williams,PF,MIL,33,19,10,17,8,68,25,57,321
637,Robert Williams,C,BOS,22,27,22,29,35,150,64,88,388
638,Nigel Williams-Goss,PG,UTA,25,6,3,10,1,14,5,16,50
639,Zion Williamson,PF,NOP,19,50,16,24,9,540,210,360,668
640,D.J. Wilson,PF,MIL,23,25,3,37,5,133,52,132,363
641,Justise Winslow,SF,MIA,23,44,7,11,5,124,50,129,352
642,Christian Wood,PF,DET,24,60,34,62,54,810,288,508,1325
643,Delon Wright,SG,DAL,27,244,85,73,22,504,190,411,1570
644,Justin Wright-Foreman,PG,UTA,22,7,2,4,0,19,7,20,45
645,Thaddeus Young,PF,CHI,31,117,92,64,23,659,269,601,1591
646,Trae Young,PG,ATL,21,560,65,60,8,1778,546,1249,2120
647,Cody Zeller,C,CHO,27,88,40,58,25,642,251,479,1341
648,Tyler Zeller,C,SAS,30,0,0,2,0,2,1,4,4
649,Ante Žižić,C,CLE,23,6,7,22,5,96,41,72,221
650,Ivica Zubac,C,LAC,22,82,16,72,66,596,236,385,1326
